;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
19;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Aqua Marinha D;5; R$ 280,00 ; R$ 560,00 ; R$ 120,00 ; R$ 464,00 ;; R$ 872,00 ; R$ 872,00 ;;;;;;;;;;;;;;;;;;;;;;;
20;Anéis;Prata Artesanal;13; R$ 104,00 ; R$ 312,00 ;Ametista B;15; R$ 84,00 ; R$ 285,60 ; R$ 180,00 ; R$ 368,00 ;-40,00%; R$ 777,60 ; R$ 1.088,64 ;;;;;;;;;;;;;;;;;;;;;;;
21;Anéis;Prata Artesanal;9,5; R$ 76,00 ; R$ 228,00 ;Ametista B;8; R$ 44,80 ; R$ 152,32 ; R$ 120,00 ; R$ 240,80 ;-20,00%; R$ 500,32 ; R$ 600,38 ;;;;;;;;;;;;;;;;;;;;;;;
22;Anéis;Prata Artesanal;5; R$ 40,00 ; R$ 120,00 ;Aqua Marinha D;10; R$ 560,00 ; R$ 1.120,00 ; R$ 120,00 ; R$ 720,00 ;40,00%; R$ 1.360,00 ; R$ 816,00 ;;;;;;;;;;;;;;;;;;;;;;;
23;Anéis;Prata Artesanal;4; R$ 32,00 ; R$ 96,00 ;Aqua Marinha D;5; R$ 280,00 ; R$ 560,00 ; R$ 120,00 ; R$ 432,00 ;; R$ 776,00 ; R$ 776,00 ;;;;;;;;;;;;;;;;;;;;;;;
24;Anéis;Prata Artesanal;3; R$ 24,00 ; R$ 72,00 ;Aqua Marinha C;5; R$ 840,00 ; R$ 1.428,00 ; R$ 120,00 ; R$ 984,00 ;40,00%; R$ 1.620,00 ; R$ 972,00 ;;;;;;;;;;;;;;;;;;;;;;;
25;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Aqua Marinha D;7; R$ 392,00 ; R$ 784,00 ; R$ 150,00 ; R$ 614,00 ;18,00%; R$ 1.150,00 ; R$ 943,00 ;;;;;;;;;;;;;;;;;;;;;;;
26;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Aqua Marinha C;5; R$ 840,00 ; R$ 1.428,00 ; R$ 120,00 ; R$ 1.016,00 ;18,00%; R$ 1.716,00 ; R$ 1.407,12 ;;;;;;;;;;;;;;;;;;;;;;;
27;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Aqua Marinha C;5; R$ 840,00 ; R$ 1.428,00 ; R$ 120,00 ; R$ 1.032,00 ;19,00%; R$ 1.764,00 ; R$ 1.428,84 ;;;;;;;;;;;;;;;;;;;;;;;
28;Anéis;Prata Artesanal;9; R$ 72,00 ; R$ 216,00 ;Aqua Marinha D;15; R$ 840,00 ; R$ 1.680,00 ; R$ 120,00 ; R$ 1.032,00 ;53,00%; R$ 2.016,00 ; R$ 947,52 ;;;;;;;;;;;;;;;;;;;;;;;
29;Anéis;Prata Artesanal;8; R$ 64,00 ; R$ 192,00 ;Ametista B;5; R$ 28,00 ; R$ 95,20 ; R$ 120,00 ; R$ 212,00 ;-60,00%; R$ 407,20 ; R$ 651,52 ;;;;;;;;;;;;;;;;;;;;;;;
30;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Ametista B;5; R$ 28,00 ; R$ 95,20 ; R$ 120,00 ; R$ 204,00 ;-38,00%; R$ 383,20 ; R$ 528,82 ;;;;;;;;;;;;;;;;;;;;;;;
31;Anéis;Prata Artesanal;7; R$ 56,00 ; R$ 168,00 ;Ametista B;15; R$ 84,00 ; R$ 285,60 ; R$ 120,00 ; R$ 260,00 ;; R$ 573,60 ; R$ 573,60 ;;;;;;;;;;;;;;;;;;;;;;;
