;;;;;;;;;;;;;;;;;;;;;;;;;;Categorias;;;;;;;;;;;
Controle de Estoque Prima Facie;;;;;;;;;;;;;;;;;;;;;;;;;;Anéis;;;;;;;;;;;
Dados do Produto;;;;;;;;;;Simulação (Projeção);;;;;;;;;;;;;;;;Brincos;;;;;;;;;;;
SKU;Categoria;Material 1;Quantidade 1; Custo M1 ; Venda M1 ;Material 2;Quantidade 2; Custo M2 ; Venda M2 ; Mão de Obra ; Custo Total ;Margem; Preço Venda ; Preço c/ desconto ;;;;;;;;;;;;Pingente;;;;;;;;;;;
812;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
813;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
814;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
815;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
816;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
817;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
818;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
819;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
820;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
821;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
822;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
823;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
824;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
825;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
826;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
827;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
828;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
829;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
830;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
831;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
832;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
833;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
834;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
835;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
836;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
837;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
838;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
839;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
840;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
841;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
842;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
843;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
844;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
845;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
846;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
847;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
848;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
849;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
850;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
851;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
852;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
853;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
854;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
855;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
856;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
857;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
858;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
859;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
860;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
861;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
862;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
863;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
864;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
865;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
866;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
867;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
868;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
869;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
870;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
871;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
872;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
873;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
874;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
875;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
876;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
877;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
878;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
879;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
880;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
881;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
882;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
883;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
884;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
885;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
886;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
887;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
888;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
889;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
890;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
891;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
892;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
893;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
894;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
895;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
896;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
897;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
898;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
899;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
900;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
901;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
902;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
903;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
904;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
905;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
906;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
907;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
908;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
909;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
910;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
911;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
912;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
913;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
914;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
915;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
916;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
917;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
918;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
919;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
920;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
921;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
922;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
923;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
924;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
925;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
926;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
927;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
928;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
929;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
930;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
931;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
932;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
933;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
934;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
935;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
936;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
937;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
938;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
939;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
940;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
941;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
942;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
943;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
944;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
945;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
946;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
947;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
948;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
949;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
950;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
951;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
952;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
953;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
954;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
955;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
956;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
957;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
958;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
959;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
960;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
961;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
962;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
963;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
964;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
965;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
966;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
967;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
968;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
969;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
970;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
971;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
972;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
973;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
974;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
975;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
976;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
977;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
978;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
979;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
980;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
981;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
982;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
983;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
984;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
985;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
986;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
987;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
988;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
989;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
990;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
991;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
992;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
993;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
994;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
995;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
996;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
997;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
998;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
999;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1000;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1001;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1002;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1003;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1004;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1005;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1006;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1007;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1008;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1009;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1010;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1011;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1012;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1013;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1014;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
1015;;;;#N/D;#N/D;;;#N/D;#N/D;;#N/D;;#N/D;#N/D;;;;;;;;;;;;;;;;;;;;;;;
